FID,ABSCHNITT_ZUGANG_STR,ACD,AP_TIMESTAMP_MODIFY,BST_BEZEICHNUNG,BST_NUMMER,BST_NUMMER_ALPHA,BST_NUMMER_NUM,BST_TRENNZEICHEN,BST_TRENNZ_KURZTEXT,EDGEOBJECTID_ZUGANG_STR,EXTERNALORGCODE,GEBADR_ANZEIGEN_J_N,GEBADR_REGIONALCODE,GEB_BAUBLOCK,GEB_BAUBLOCK_ID,GEB_BEZEICHNUNG,GEB_BEZIRK,GEB_NAMECAT,GEB_NUMMER,GEB_NUMMER_ALPHA,GEB_NUMMER_NUM,GEB_OBJEKTID,GEB_STATUS,GEB_STATUS_KURZTEXT,GEB_TIMESTAMP_MODIFY,GEB_TRENNZEICHEN,GEB_TRENNZ_KURZTEXT,GEB_WINKEL,GEB_X,GEB_Y,HAUPT_IDENT_PSEUDO,LAGE_ZU_ADR,LAGE_ZU_ADR_TXT,NAME,NAME_BST,NAME_BST_GEB,NAME_GEB,NAME_ONR,NAME_ONR_BST_GEB,NAME_STR,OBJECTID,OBJEKT_ID,OBJEKTID_NAME_STR,ON_BIS_ALPHA,ON_BIS_NUM,ONR_BIS,ONR_VON,ON_VON_ALPHA,ON_VON_NUM,PLATZKENNZEICHEN,PLZ,SCD_NAME_STR,SCD_ZUGANG_STR,SE_ANNO_CAD_DATA,SHAPE,STRABS_ZUGANG_STR,STRASSENSEITE,TOPOGR_NAME_STR,UEBERACD,ZUGADR_ONR_KGNUM,ZUGADR_ONR_STAMMNR,ZUGADR_ONR_TEILNR,ZUGADR_REGIONALCODE,ZUGADR_TYP,ZUGANG_MOEGLICH_J_N,ZUG_BEZIRK,ZUG_OBJEKTID,ZUG_TIMESTAMP_MODIFY,ZUG_TRENNZEICHEN,ZUG_TRENNZ_KURZTEXT,ZUG_WINKEL,ZUG_X,ZUG_Y,ABLAUFDATUM
ADRESSENOGD.415555935,001009,000580,2007-07-24,,,,,,,10042438,90001,1,AT90101,01071007,10011334,,01,8012,,,,25649815,d,definitiv,2008-12-10,0, ,342.63000488,3133.75,341475.78,H, ,Normal,Seitenstettengasse 2,, ,,2,2,Seitenstettengasse,415555935,10053084,10004373,,,,2,,2,2,1010,04471,04471,,POINT (16.374290951361573 48.21166886480107),04471001009,2,G  ,,,,,AT90101,0,1,01,25120958,2008-12-10,0, ,340.09,3135.81,341479.73,
ADRESSENOGD.415555666,002009,230409,2022-03-24,,,,,,,10034652,90001,1,AT90101,01078002,10011371,,01,8012,,,,25709050,d,definitiv,2022-03-24,0, ,322.1000061,3078.45,341322.23,I, ,Normal,Kramergasse 13,, ,,13,13,Kramergasse,415555666,25709093,10002557,,,,13,,13,2,1010,02623,02623,,POINT (16.373545827463367 48.21028820493956),02623002009,1,G  ,,,,,AT90101,0,1,01,25036036,2008-12-10,0, ,54.67,3078.75,341313.78,
ADRESSENOGD.415555941,003009,239056,2023-04-24,,,,,,,10024718,90001,1,AT90101,01042001,10011195,,01,8012,,,,25742341,d,definitiv,2023-04-24,0, ,78.91000366,1738.12,341158.78,I, ,Normal,Auerspergstraße 8,, ,,8,8,Auerspergstraße,415555941,25742346,10000279,,,,8,,8,2,1010,00290,00290,,POINT (16.35551127447068 48.20882277170286),00290003009,2,G  ,,,,,AT90101,0,1,01,25068688,2015-02-16,0, ,75.82,1722.84,341163.15,
ADRESSENOGD.415556121,001009,000785,2007-07-24,,,,,,,10025665,90001,1,AT90101,01037001,10011156,,01,8012,,,,25544497,d,definitiv,2008-12-10,0, ,342.05999756,2795.59,340357.82,H, ,Normal,Bösendorferstraße 1,, ,,1,1,Bösendorferstraße,415556121,10053485,10000514,,,,1,,1,2,1010,00530,00530,,POINT (16.369734321877925 48.20161627503191),00530001009,1,G  ,,,,,AT90101,0,1,01,25091013,2008-12-10,0, ,340.93,2801.1,340354.17,
ADRESSENOGD.415554638,002009,000358,2007-07-24,,,,,,,10025746,90001,1,AT90101,01075001,10011352,,01,8012,,,,25517234,d,definitiv,2008-12-10,0, ,287.60998535,2634.25,340912.17,I, ,Normal,Bräunerstraße 13,, ,,13,13,Bräunerstraße,415554638,10052636,10000535,,,,13,,13,2,1010,00551,00551,,POINT (16.36756693035587 48.20660226089291),00551002009,1,G  ,,,,,AT90101,0,1,01,25036432,2008-12-10,0, ,22.37,2641.91,340939.62,
ADRESSENOGD.415554639,001019,000062,2010-10-25,,,,,,,18793851,90001,1,AT90101,01075002,10011353,,01,8012,,,,25535604,d,definitiv,2008-12-10,0, ,55.56000137,2753.19,341075.38,H, ,Normal,Bräunerstraße 3,, ,,3,3,Bräunerstraße,415554639,10052127,10000535,,,,3,,3,2,1010,00551,00551,,POINT (16.369168089420278 48.208069587487174),00551001019,1,G  ,,,,,AT90101,0,1,01,25087984,2010-10-25,0, ,56.86,2750.15,341077.99,
ADRESSENOGD.415554643,001009,000908,2007-07-24,,,,,,,10031570,90001,1,AT90101,01060001,10011283,,01,8012,10,,10,25577586,d,definitiv,2008-12-10,2,/,331.17001343,2471.99,341660.15,I, ,Normal,Helferstorferstraße 4/10,,/10,/10,4,4/10,Helferstorferstraße,415554643,10053685,10001846,,,,4,,4,2,1010,01899,01899,,POINT (16.365387734107795 48.213329552135775),01899001009,2,G  ,207495,,,,AT90101,0,1,01,25023962,2008-12-10,0, ,37.44,2412.13,341665.13,
ADRESSENOGD.415554399,008018,129311,2007-07-24,,,,,,,10028897,90001,1,AT90101,01059004,10011280,SALZTORBR.(LOKAL),01,8012,,,,25640644,d,definitiv,2008-12-10,0, ,302.85998535,2992.85,341962.68,H, ,Normal,Schanzelufer SALZTORBR.(LOKAL),, SALZTORBR.(LOKAL),SALZTORBR.(LOKAL),,SALZTORBR.(LOKAL),Schanzelufer,415554399,10235356,10009983,,,,,,,2,1010,18275,01268,,POINT (16.372398201807467 48.21604825237962),01268008018,2,TB ,,,,,AT90201,2,1,02,25053733,2008-12-10,0, ,302.86,2986.31,342082.63,
ADRESSENOGD.415554674,003009,000716,2007-07-24,,,,,,,10032022,90001,1,AT90101,01020001,10011067,,01,8012,,,,25675422,d,definitiv,2008-12-10,0, ,70.47000122,3154.7,340713.01,I, ,Normal,Himmelpfortgasse 18,, ,,18,18,Himmelpfortgasse,415554674,10053349,10001922,,,,18,,18,2,1010,01976,01976,,POINT (16.3745676954038 48.204809046728215),01976003009,2,G  ,,,,,AT90101,0,1,01,25083966,2008-12-10,0, ,322.32,3168.52,340725.01,
ADRESSENOGD.415554675,001029,229497,2023-08-28,,,,,,,20045721,90001,1,AT90101,01015001,10011040,,01,8012,,,,25705683,d,definitiv,2023-08-28,0, ,343.04000854,2971.39,340811.52,H, ,Normal,Himmelpfortgasse 4,, ,,4,4,Himmelpfortgasse,415554675,25705685,10001922,,,,4,,4,2,1010,01976,01976,,POINT (16.3721021704766 48.20569575922647),01976001029,2,G  ,,,,,AT90101,0,1,01,25069989,2023-08-28,0, ,343.04,2967.3,340819.26,
ADRESSENOGD.415554676,002009,000307,2007-07-24,,,,,,,10032021,90001,1,AT90101,01015001,10011040,,01,8012,,,,25523887,d,definitiv,2008-12-10,0, ,338.79000854,3096.21,340771.17,H, ,Normal,Himmelpfortgasse 12,, ,,12,12,Himmelpfortgasse,415554676,10052558,10001922,,,,12,,12,2,1010,01976,01976,,POINT (16.373781185523086 48.205332351001864),01976002009,2,G  ,,,,,AT90101,0,1,01,25037838,2008-12-10,0, ,339.31,3101.09,340774.1,
ADRESSENOGD.415554433,003009,001122,2007-07-24,,,,,,,10024991,90001,1,AT90101,01041008,10011191,,01,8012,,,,25602575,d,definitiv,2008-12-10,0, ,77.91000366,1857.65,341236.59,H, ,Normal,Bartensteingasse 14,, ,,14,14,Bartensteingasse,415554433,10054085,10000352,,,,14,,14,2,1010,00363,00363,,POINT (16.3571197885325 48.20952221660225),00363003009,2,G  ,,,,,AT90101,0,1,01,25131875,2008-12-10,0, ,79.59,1854.51,341238.11,
ADRESSENOGD.415554161,002009,000711,2007-07-24,,,,,,,10026539,90001,1,AT90101,01021001,10011074,,01,8012,,,,25581489,d,definitiv,2008-12-10,0, ,35.52000046,3247.42,340802.15,I, ,Normal,Coburgbastei 6,, ,,6,6,Coburgbastei,415554161,10053338,10000696,,,,6,,6,2,1010,00721,00721,,POINT (16.375815722517824 48.205610274073955),00721002009,2,G  ,,,,,AT90101,0,1,01,25040657,2008-12-10,0, ,35.34,3275.64,340772.12,
ADRESSENOGD.415554587,001009,001026,2007-07-24,,,,,,,10031547,90001,1,AT90101,01057004,10011272,,01,8012,,,,25655262,d,definitiv,2008-12-10,0, ,304.44000244,2815.09,341733.3,I, ,Normal,Heinrichsgasse 1,, ,,1,1,Heinrichsgasse,415554587,10053920,10001839,,,,1,,1,2,1010,01891,01891,,POINT (16.370004823897183 48.21398613159218),01891001009,1,G  ,,,,,AT90101,0,1,01,25136423,2008-12-10,0, ,43.93,2838.17,341736.48,
ADRESSENOGD.415558162,001009,000419,2012-10-04,,,,,,,10043704,90001,1,AT90101,01060002,10011284,,01,8012,1,,1,25591761,d,definitiv,2012-10-04,2,/,319.14001465,2477.97,341345.08,I, ,Normal,Strauchgasse 4/1,,/1,/1,4,4/1,Strauchgasse,415558162,10052753,10004662,,,,4,,4,2,1010,04761,04761,,POINT (16.3654665683121 48.210496017550604),04761001009,2,G  ,212533,,,,AT90101,0,1,01,25060493,2008-12-10,0, ,61.62,2494.37,341356.15,
ADRESSENOGD.415557894,005009,000702,2007-07-24,,,,,,,10032024,90001,1,AT90101,01020005,10011071,,01,8012,,,,25677480,d,definitiv,2008-12-10,0, ,55.56000137,3306.06,340609.42,I, ,Normal,Himmelpfortgasse 30,, ,,30,30,Himmelpfortgasse,415557894,10053319,10001922,,,,30,,30,2,1010,01976,01976,,POINT (16.376603278651903 48.20387674289905),01976005009,2,G  ,,,,,AT90101,0,1,01,25123104,2008-12-10,0, ,325.7,3303.93,340627.84,
ADRESSENOGD.415557895,001029,000034,2019-07-31,,,,,,,20045721,90001,1,AT90101,01014002,10011038,,01,8012,,,,25671242,d,definitiv,2008-12-10,0, ,342.63000488,2959.89,340837.52,H, ,Normal,Himmelpfortgasse 3,, ,,3,3,Himmelpfortgasse,415557895,10052084,10001922,,,,3,,3,2,1010,01976,01976,,POINT (16.37194760541452 48.20592963568877),01976001029,1,G  ,,,,,AT90101,0,1,01,25141881,2019-07-31,0, ,343.04,2956.13,340836.9,
ADRESSENOGD.415557911,003000,043642,2019-06-26,,,,,,,20052079,90001,1,AT90101,01026003,10011097,TIEFGARAGE,01,8012,,,,25575801,d,definitiv,2008-12-10,0, ,357.76000977,3687.79,341287.13,H, ,Normal,Georg-Coch-Platz TIEFGARAGE,, TIEFGARAGE,TIEFGARAGE,,TIEFGARAGE,Georg-Coch-Platz,415557911,10118592,10001401,,,,,,,1,1010,01444,01444,,POINT (16.381744202776083 48.2099695821217),01444003000,1,G  ,,,,,AT90101,2,1,01,25069026,2019-06-26,0, ,88.27,3687.14,341286.31,
ADRESSENOGD.415557699,002509,000762,2007-07-24,,,,,,,10025666,90001,1,AT90101,01037002,10011157,,01,8012,,,,25580287,d,definitiv,2008-12-10,0, ,341.48001099,2964.86,340343.05,I, ,Normal,Bösendorferstraße 13,, ,,13,13,Bösendorferstraße,415557699,10053442,10000514,,,,13,,13,2,1010,00530,00530,,POINT (16.372011357948452 48.20148275597697),00530002509,1,G  ,,,,,AT90101,0,1,01,25029514,2008-12-10,0, ,341.19,2981.19,340293.32,
ADRESSENOGD.415558349,001009,000098,2023-06-29,,,,,,,10046082,90001,1,AT90101,01072002,10011338,,01,8012,,,,25558184,d,definitiv,2023-06-29,0, ,32.65000153,2970.4,341271.75,I, ,Normal,Wildpretmarkt 6,, ,,6,6,Wildpretmarkt,415558349,10052193,10005210,,,,6,,6,2,1010,05318,05318,,POINT (16.372091744380427 48.209834698119494),05318001009,2,G  ,213473,,,,AT90101,0,1,01,25071091,2008-12-10,0, ,60.56,2933.05,341303.06,
ADRESSENOGD.415558350,001009,000057,2007-07-24,,,,,,,10025608,90001,1,AT90101,01016003,10011046,,01,8012,,,,25615817,d,definitiv,2008-12-10,0, ,342.63000488,3055.65,340930.1,I, ,Normal,Blumenstockgasse 3,, ,,3,3,Blumenstockgasse,415558350,10052121,10000493,,,,3,,3,2,1010,00509,00509,,POINT (16.373236541418468 48.206761814632394),00509001009,1,G  ,,,,,AT90101,0,1,01,25024596,2008-12-10,0, ,318.9,3052.43,340901.53,
ADRESSENOGD.415557733,002009,001193,2007-07-24,,,,,,,10032360,90001,1,AT90101,01071001,10011330,,01,8012,6,,6,25564772,d,definitiv,2008-12-10,2,/,55.56000137,3007.58,341459.11,I, ,Normal,Hoher Markt 8-9/6,,/6,/6,8-9,8-9/6,Hoher Markt,415557733,10054236,10001994,,9,9,8,,8,2,1010,02049,02049,,POINT (16.372593192458275 48.21151950077357),02049002009,2,G  ,207808,,,,AT90101,0,1,01,25125131,2008-12-10,1,-,319.81,3009.63,341424.46,
ADRESSENOGD.415557734,002009,001187,2007-07-24,,,,,,,10032360,90001,1,AT90101,01071001,10011330,,01,8012,1,,1,25686174,d,definitiv,2008-12-10,2,/,54.43000031,3067.09,341436.07,I, ,Normal,Hoher Markt 8-9/1,,/1,/1,8-9,8-9/1,Hoher Markt,415557734,10054223,10001994,,9,9,8,,8,2,1010,02049,02049,,POINT (16.373393762984424 48.21131204084981),02049002009,2,G  ,207808,,,,AT90101,0,1,01,25125131,2008-12-10,1,-,319.81,3009.63,341424.46,
ADRESSENOGD.415557520,002009,001091,2007-07-24,,,,,,,10024716,90001,1,AT90101,01042004,10011198,,01,8012,,,,25603604,d,definitiv,2008-12-10,0, ,283.26000977,1727.3,341080.37,H, ,Normal,Auerspergstraße 4,, ,,4,4,Auerspergstraße,415557520,10054032,10000279,,,,4,,4,2,1010,00290,00290,,POINT (16.355365437992862 48.2081176107386),00290002009,2,G  ,,,,,AT90101,0,1,01,25036155,2008-12-10,0, ,286.33,1726.48,341078.94,
ADRESSENOGD.415557521,002009,001090,2007-07-24,,,,,,,10024716,90001,1,AT90101,01042004,10011198,,01,8012,,,,25553016,d,definitiv,2008-12-10,0, ,284.19000244,1732.35,341059.85,H, ,Normal,Auerspergstraße 2,, ,,2,2,Auerspergstraße,415557521,10054030,10000279,,,,2,,2,2,1010,00290,00290,,POINT (16.35543331282098 48.20793305931728),00290002009,2,G  ,,,,,AT90101,0,1,01,25056354,2008-12-10,0, ,286.33,1730.5,341062.53,
ADRESSENOGD.415557528,001009,000380,2007-07-24,,,,,,,10029848,90001,1,AT90101,01076007,10011363,,01,8012,,,,25576033,d,definitiv,2008-12-10,0, ,56.72000122,2809.96,340793.77,I, ,Normal,Gluckgasse 4,, ,,4,4,Gluckgasse,415557528,10052675,10001476,,,,4,,4,2,1010,01521,01521,,POINT (16.369930221658635 48.20553679620244),01521001009,2,G  ,,,,,AT90101,0,1,01,25142307,2008-12-10,0, ,324.44,2770.03,340795.39,
ADRESSENOGD.415558083,002009,000762,2007-07-24,,,,,,,10033408,90001,1,AT90101,01037002,10011157,,01,8012,,,,25580287,d,definitiv,2008-12-10,0, ,341.48001099,2964.86,340343.05,H, ,Normal,Kärntner Ring 12,, ,,12,12,Kärntner Ring,415558083,10053440,10002243,,,,12,,12,2,1010,02302,02302,,POINT (16.372011357948452 48.20148275597697),02302002009,2,G  ,,,,,AT90101,0,1,01,25056446,2008-12-10,0, ,341.55,2967.07,340346.2,
ADRESSENOGD.415558084,001009,097459,2007-07-24,,,,,,,10033407,90001,1,AT90101,01032005,10011126,1(HOTEL BRISTOL),01,8012,,,,25629401,d,definitiv,2008-12-10,0, ,341.48001099,2828.89,340456.35,H, ,Normal,Kärntner Ring 1(HOTEL BRISTOL),, 1(HOTEL BRISTOL),1(HOTEL BRISTOL),1,1(HOTEL BRISTOL),Kärntner Ring,415558084,10195402,10002243,,,,1,,1,2,1010,02302,02302,,POINT (16.370182883575797 48.2025022414298),02302001009,1,G  ,,,,,AT90101,0,1,01,25136277,2008-12-10,0, ,341.46,2836.52,340452.61,
ADRESSENOGD.415558086,003009,254665,2021-05-04,,,,,,,10028202,90001,1,AT90101,01052003,10011247,,01,8012,,,,25788812,d,definitiv,2021-05-04,0, ,32.36000061,2859.01,341943.25,H, ,Normal,Eßlinggasse 16,, ,,16,16,Eßlinggasse,415558086,25788813,10001070,,,,16,,16,2,1010,01109,01109,,POINT (16.37059706162236 48.21587405969268),01109003009,2,G  ,,,,,AT90101,0,1,01,25031470,2021-05-04,0, ,32.36,2854.48,341950.25,
ADRESSENOGD.415557857,003009,000914,2007-07-24,,,,,,,10031572,90001,1,AT90101,01055001,10011262,,01,8012,,,,25602045,d,definitiv,2008-12-10,0, ,37.24000168,2471.58,341704.16,H, ,Normal,Helferstorferstraße 6,, ,,6,6,Helferstorferstraße,415557857,10053695,10001846,,,,6,,6,2,1010,01899,01899,,POINT (16.36538244331036 48.21372534284133),01899003009,2,G  ,,,,,AT90101,0,1,01,25134546,2008-12-10,0, ,36.96,2477.4,341713.7,
ADRESSENOGD.415557858,001009,000960,2007-07-24,,,,,,,10031570,90001,1,AT90101,01054003,10011258,,01,8012,,,,25526130,d,definitiv,2008-12-10,0, ,36.65000153,2384.82,341666.97,H, ,Normal,Helferstorferstraße 5,, ,,5,5,Helferstorferstraße,415557858,10053786,10001846,,,,5,,5,2,1010,01899,01899,,POINT (16.364214833257154 48.2133911788475),01899001009,1,G  ,,,,,AT90101,0,1,01,25021505,2008-12-10,0, ,37.44,2386.43,341665.83,
ADRESSENOGD.415556589,002009,000615,2007-07-24,,,,,,,10027054,90001,1,AT90101,01018003,10011059,,01,8012,,,,25564182,d,definitiv,2008-12-10,0, ,57.50999832,3484.97,341045.57,H, ,Normal,Dr.-Karl-Lueger-Platz 4,, ,,4,4,Dr.-Karl-Lueger-Platz,415556589,10053159,10000836,,,,4,,4,1,1010,00867,00867,,POINT (16.379013477070604 48.20779824335112),00867002009,1,G  ,,,,,AT90101,0,1,01,25096317,2008-12-10,0, ,58.89,3486.53,341045.36,
ADRESSENOGD.415556423,001009,000302,2007-07-24,,,,,,,10024221,90001,1,AT90101,01015003,10011042,,01,8012,,,,25632923,d,definitiv,2008-12-10,0, ,336.32000732,2964.61,340647.6,H, ,Normal,Annagasse 10,, ,,10,10,Annagasse,415556423,10052553,10000194,,,,10,,10,2,1010,00205,00205,,POINT (16.372009911687083 48.204221631084366),00205001009,2,G  ,,,,,AT90101,0,1,01,25042706,2008-12-10,0, ,335,2968.73,340650.63,
ADRESSENOGD.415557010,001009,123812,2024-02-02,,,,,,,10025161,90001,1,AT90101,01049003,10011231,STATION,01,8012,,,,25630822,d,definitiv,2024-02-02,0, ,41.22999954,2073.23,340907.83,H, ,Normal,U-Bahn Station Volkstheater STATION,, STATION,STATION,,STATION,U-Bahn Station Volkstheater,415557010,10229126,10010866,,,,,,,2,1010,90044,00404,,POINT (16.36001893223302 48.2065650733842),00404001009,1,EBS,,,,,AT90101,2,1,01,25081448,2008-12-10,0, ,41.23,2079.66,340898.83,
ADRESSENOGD.415557041,001009,175565,2007-07-24,,,,,,,10031766,90001,1,AT90101,01047003,10011222,STATION,01,8012,,,,25582006,d,definitiv,2008-12-10,0, ,288.26998901,2473.39,341215.55,H, ,Normal,U-Bahn Station Herrengasse STATION,, STATION,STATION,,STATION,U-Bahn Station Herrengasse,415557041,10294401,10010872,,,,,,,2,1010,90050,01940,,POINT (16.365404286929977 48.20933118356089),01940001009,1,EBS,,,,,AT90101,2,1,01,25119783,2008-12-10,0, ,288.27,2477.25,341214.1,
ADRESSENOGD.415557204,001019,000346,2010-10-25,,,,,,,18793909,90001,1,AT90101,01034004,10011139,,01,8012,3,,3,25593534,d,definitiv,2008-12-10,2,/,341.48001099,2669.62,340400.08,H, ,Normal,Elisabethstraße 6/3,,/3,/3,6,6/3,Elisabethstraße,415557204,10052616,10001001,,,,6,,6,2,1010,01038,01038,,POINT (16.368039928888493 48.2019968110569),01038001019,2,G  ,205846,,,,AT90101,0,1,01,25062104,2010-10-25,0, ,342.16,2674.09,340397.04,
ADRESSENOGD.415557205,005009,235463,2013-05-06,,,,,,,10027756,90001,1,AT90101,01035002,10011142,,01,8012,2,,2,25728749,d,definitiv,2013-05-06,2,/,71.44999695,2378.96,340449.8,I, ,Normal,Elisabethstraße 11/2,,/2,/2,11,11/2,Elisabethstraße,415557205,25728751,10001001,,,,11,,11,2,1010,01038,01038,,POINT (16.36412996490108 48.2024449368397),01038005009,1,G  ,,,,,AT90101,0,1,01,25008407,2008-12-10,0, ,341.35,2401.34,340470.34,
